"Delovno aktivno prebivalstvo, registrirane brezposelne osebe in stopnje"
"registrirane brezposelnosti po: SPOL, OBÈINE, MERITVE , LETO"

" ";" ";"3 Registrirane brezposelne osebe";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";"Šmarje pri Jelšah";619;581;488;436;531;596;576;572;639;647;619;567
" ";"Šmarješke Toplice";-;-;38;34;58;71;100;102;118;113;102;86
" ";"Šmartno ob Paki";113;113;116;103;139;162;198;182;151;162;150;135
" ";"Šmartno pri Litiji";172;136;171;149;246;249;273;281;279;283;243;214
" ";"Šoštanj";351;346;310;270;361;434;486;472;482;455;454;440
" ";"Štore";229;198;159;135;179;217;222;207;237;238;235;209
" ";"Tabor";98;82;68;51;71;85;91;81;97;97;84;83
" ";"Tišina";304;280;225;206;323;417;360;307;296;332;353;309
" ";"Tolmin";468;462;371;337;556;556;544;478;509;510;499;403
" ";"Trbovlje";1334;1178;928;747;978;1038;1188;1264;1419;1483;1441;1344
" ";"Trebnje";565;496;351;332;425;552;664;563;685;619;554;523
" ";"Trnovska vas";48;46;41;37;62;71;55;52;58;52;47;38
" ";"Trzin";108;101;84;58;88;113;140;139;147;165;139;118
" ";"Tržiè";629;551;459;408;637;738;787;774;811;774;733;678
" ";"Turnišèe";414;383;298;271;319;352;322;299;295;294;299;257
" ";"Velenje";1912;1842;1481;1243;1668;1988;2348;2227;2230;2152;1993;1839
" ";"Velika Polana";123;136;121;113;134;142;127;107;109;121;126;97
" ";"Velike Lašèe";91;96;76;57;81;114;151;162;168;164;152;144
" ";"Veržej";48;50;45;48;68;80;77;62;61;69;61;53
" ";"Videm";263;257;240;211;316;387;353;330;319;292;259;228
" ";"Vipava";130;146;123;115;165;220;277;302;323;315;279;232
" ";"Vitanje";103;101;89;83;113;126;117;103;100;95;93;101
" ";"Vodice";76;91;89;78;105;121;145;136;161;174;173;151
" ";"Vojnik";351;314;261;232;321;355;369;376;432;431;424;416
" ";"Vransko";146;120;109;80;96;110;130;122;148;151;130;113
" ";"Vrhnika";571;489;337;322;756;799;830;867;1004;983;926;832
" ";"Vuzenica";145;120;98;96;138;160;176;153;181;162;149;140
" ";"Zagorje ob Savi";825;665;551;490;691;730;825;891;1002;1101;998;901
" ";"Zavrè";82;81;74;59;86;87;101;95;100;104;83;71
" ";"Zreèe";272;274;238;217;301;306;322;327;340;340;327;314
" ";"Žalec";1517;1286;1021;875;1086;1227;1367;1270;1470;1502;1357;1271
" ";"Železniki";102;98;83;69;129;125;181;176;198;196;168;145
" ";"Žetale";63;57;52;43;61;66;59;63;55;53;52;48
" ";"Žiri";65;65;52;53;111;114;121;110;132;106;104;106
" ";"Žirovnica";113;94;81;71;108;131;153;154;162;154;143;132
" ";"Žužemberk";86;86;91;74;125;144;177;221;239;222;172;133

"Vir: Statistièni urad Republike Slovenije. "
" "
"Zaradi zaokroževanja na cela števila se vsote ne ujemajo vedno."

"Povezane vsebine: "
"- (seznam HREF=http://www.stat.si/statweb/File/DocSysFile/8138 "
"target=_blank) Metodološka pojasnila"

"Podatki so teritorialno razvršèeni po uredbi o Standardni "
"klasifikaciji teritorialnih enot [(seznam "
"HREF=http://www.stat.si/StatWeb/glavnanavigacija/metode-in-klasifikac-"
"ije/klasifikacije TARGET=_blank) opis in pojasnila], raven SKTE 5. "
"Podatki o spremembah posameznih obèin so dostopni na (seznam "
"HREF=http://www.stat.si/StatWeb/glavnanavigacija/metode-in-klasifikac-"
"ije/klasifikacije/spremembe-obmocij-obcin TARGET=_blank) povezavi. V "
"Seznamu obèin s spremembami obmoèij obèin od leta 1995 dalje je "
"opisana vrsta spremembe, naveden je datum, s katerim je opisana "
"teritorialna sprememba upoštevana pri teritorialnem razvršèanju enot "
"za statistiène namene ter naveden Uradni list, v katerem so bile "
"objavljene omenjene teritorialne opombe. V seznamu obèin je navedeno "
"zadnje veljavno stanje imen obèin. "

