"Mere aktivnosti glede na tip gospodinjstva po: KOHEZIJSKA REGIJA, LETO,"
"TIP GOSPODINJSTVA , MERITVE"

" ";" ";" ";"Stopnja brezposelnosti (v %)"
"SLOVENIJA"
" ";" ";"Par ali samohranilec z najmlajšim otrokom starim manj kot 25 let in drugimi osebami v gospodinjstvu";5.2 M
" ";" ";"Par ali samohranilec z najmlajšim otrokom starim 25 let ali veè in drugimi osebami v gospodinjstvu";9.4 M
" ";" ";"Drug tip gospodinjstva";7.6 M

"Vir: Statistièni urad Republike Slovenije."

"Povezane vsebine: "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=7788 target=_blank) Metodološka pojasnila "

"Podatki so teritorialno razvršèeni po Klasifikaciji statistiènih "
"teritorialnih enot v Evropski uniji (The Classification  of "
"Territorial Units for Statistics) – NUTS ((seznam "
"HREF=http://www.stat.si/StatWeb/glavnanavigacija/metode-in-klasifikac-"
"ije/klasifikacije TARGET=_blank) opis in pojasnila), raven NUTS 2. "
"Podatki o spremembah posameznih kohezijskih regij so dostopni tudi na "
"(seznam HREF=http://www.stat.si/dokument/8483 TARGET=_blank) povezavi."

